block,Total Employment
130890212162009,101
130890212162011,3
130890212163000,746
130890212163004,1
130890212163005,39
130890212163006,3295
130890212163007,4047
130890212163008,1174
130890212163009,1568
130890212163010,64
130890212163012,2011
130890212171001,16
130890212171004,2
130890212171005,5
130890212171010,12
130890212171012,25
130890212171013,7
130890212171015,3
130890212171016,11
130890212171019,3
130890212171023,35
130890212171027,1
130890212181000,73
130890212181003,14
130890212181004,74
130890212181006,513
130890212182000,7
130890212182001,119
130890212182004,231
130890212182006,810
130890212182007,393
130890212183000,4
130890212183001,2
130890212183003,134
130890212183004,52
130890212183005,2
130890212183006,3
130890212183007,10
130890212183009,2
130890212183010,137
130890212183011,17
130890213011011,308
130890213011016,317
130890213011017,1272
130890213011018,352
130890213011019,218
130890213011020,387
130890213011021,63
130890213011022,68
130890213011024,758
130890213011025,4
130890213011028,60
130890213011030,737
130890213011031,109
130890213011032,111
130890213011033,27
130890213011034,189
130890213011036,220
130890213012000,520
130890213012003,21
130890213012005,9
130890213012006,1
130890213031000,1
130890213031003,1
130890213031004,4
130890213031006,7
130890213031010,6
130890213031011,1
130890213031013,120
130890213031014,320
130890213031018,6
130890213031019,1
130890213032002,363
130890213032003,61
130890213032004,566
130890213032006,578
130890213032007,24
130890213032008,181
130890213032009,71
130890213032010,72
130890213032011,64
130890213032012,94
130890213032013,8
130890213032014,94
130890213032015,9
130890213032016,98
130890213032018,167
130890213032019,2
130890213032020,113
130890213032022,2
130890213032023,3
130890213032024,3
130890213032027,70
130890213033000,160
130890213033001,62
130890213033002,169
130890213033006,645
130890213033007,6
130890213033015,629
130890213051001,18
130890213051002,91
130890213051007,4
130890213052000,36
130890213052002,13
130890213052004,3
130890213052005,2
130890213052006,104
130890213052008,6
130890213052009,59
130890213052010,27
130890213052012,10
130890213052013,16
130890213061001,3
130890213061005,218
130890213061011,27
130890213061012,43
130890213061013,47
130890213061014,307
130890213061015,376
130890213061017,18
130890213061018,57
130890213061019,2
130890213061021,67
130890213061024,4
130890213061026,54
130890213061027,6
130890213061034,3
130890213061039,3
130890213061040,321
130890213061049,1
130890213061051,40
130890213061054,4
130890213062004,34
130890213062005,137
130890213062006,242
130890213062013,70
130890213062014,42
130890213062016,3
130890213062019,2
130890213062020,231
130890213062021,5
130890213062023,2
130890213062025,92
130890213062029,29
130890213062031,284
130890213062032,263
130890213062034,105
130890213063000,62
130890213063001,67
130890213063002,167
130890213063006,138
130890213063007,5
130890213071000,67
130890213071001,242
130890213071005,3
130890213071007,9
130890213071008,1
130890213071010,3
130890213071013,59
130890213071014,3
130890213071016,3
130890213071017,1
130890213071021,106
130890213072003,14
130890213072004,88
130890213072005,11
130890213072006,56
130890213072007,1
130890213072010,86
130890213072011,3
130890213072013,363
130890213072014,9
130890213072016,3
130890213072024,965
130890213072030,1
130890213072031,6
130890213072032,1
130890213072033,163
130890213072035,19
130890213072037,58
130890213072038,1
130890213072040,186
130890213072041,50
130890213072042,3
130890213072043,288
130890213072049,5
130890213072056,14
130890213081000,64
130890213081001,17
130890213081003,219
130890213081004,2
130890213081006,1
130890213081014,179
130890213082000,1
130890213082001,3
130890213082002,27
130890213082004,141
130890213082006,4
130890213082007,1
130890213082008,2
130890213083000,208
130890213083001,63
130890213083002,188
130890213083004,28
130890213083007,59
130890213083008,5
130890213083010,4
130890213083012,12
130890213083014,132
130890213083018,6
130890213083020,47
130890214051000,574
130890214051002,1
130890214051006,14
130890214051008,3
130890214051012,3
130890214052000,14
130890214052001,1
130890214052005,4
130890214052006,1
130890214052007,2
130890214052008,3
130890214052009,4
130890214052010,9
130890214052011,8
130890214052012,8
130890214052014,1
130890214052015,4
130890214052016,5
130890214052018,1
130890214053003,134
130890214053004,54
130890214053005,4
130890214053006,1
130890214053007,7
130890214053010,1
130890214053013,2
130890214053014,8
130890214053015,10
130890214053017,1
130890214053020,12
130890214091000,2
130890214091001,406
130890214092000,177
130890214092001,13
130890214092002,9
130890214092007,9
130890214092009,1
130890214101001,10
130890214101002,2
130890214101003,4
130890214101004,92
130890214101007,2
130890214101008,89
130890214101009,6
130890214101010,20
130890214101011,6
130890214101014,2
130890214101016,1
130890214102000,2
130890214102001,20
130890214103000,31
130890214103002,1
130890214103004,616
130890214103006,1290
130890214103009,184
130890214103011,552
130890214103012,64
130890214103013,720
130890214103014,39
130890214103015,65
130890214111000,3
130890214111002,250
130890214111004,3
130890214111006,31
130890214111008,86
130890214111009,25
130890214111010,1
130890214111011,1
130890214111012,4
130890214111013,3
130890214111014,254
130890214112000,2
130890214112001,1
130890214112002,2
130890214112003,23
130890214112004,44
130890214112008,6
130890214112010,1
130890214121002,50
130890214121003,419
130890214121004,2
130890214121005,5
130890214121006,180
130890214121011,18
130890214121014,4
130890214121015,24
130890214121016,2
130890214121018,6
130890214121019,3
130890214121022,9
130890214122000,7
130890214122001,5
130890214122004,10
130890214122006,4
130890214122007,9
130890214122008,6
130890214122011,4
130890214122013,35
130890214122014,286
130890214122015,2
130890214122016,5
